Arrival_Date,State,District,Market,Commodity,Modal_Price
2024-06-03,Karnataka,Bagalkot,Bagalakot,Maize,2430
2024-06-05,Karnataka,Bagalkot,Bagalakot,Maize,2440
2024-06-07,Karnataka,Bagalkot,Bagalakot,Maize,2412
2024-06-10,Karnataka,Bagalkot,Bagalakot,Maize,2393
2024-06-11,Karnataka,Bagalkot,Bagalakot,Maize,2429
2024-06-12,Karnataka,Bagalkot,Bagalakot,Maize,2435
2024-06-13,Karnataka,Bagalkot,Bagalakot,Maize,2378
2024-06-14,Karnataka,Bagalkot,Bagalakot,Maize,2442
2024-06-15,Karnataka,Bagalkot,Bagalakot,Maize,2446
2024-06-18,Karnataka,Bagalkot,Bagalakot,Maize,2449
2024-06-19,Karnataka,Bagalkot,Bagalakot,Maize,2434
2024-06-24,Karnataka,Bagalkot,Bagalakot,Maize,2494
2024-06-25,Karnataka,Bagalkot,Bagalakot,Maize,2454
2024-06-26,Karnataka,Bagalkot,Bagalakot,Maize,2432
2024-06-27,Karnataka,Bagalkot,Bagalakot,Maize,2561
2024-06-28,Karnataka,Bagalkot,Bagalakot,Maize,2568
2024-06-29,Karnataka,Bagalkot,Bagalakot,Maize,2582
2024-07-01,Karnataka,Bagalkot,Bagalakot,Maize,2562
2024-07-02,Karnataka,Bagalkot,Bagalakot,Maize,2598
2024-07-03,Karnataka,Bagalkot,Bagalakot,Maize,2610
2024-07-06,Karnataka,Bagalkot,Bagalakot,Maize,2600
2024-07-08,Karnataka,Bagalkot,Bagalakot,Maize,2620
2024-07-09,Karnataka,Bagalkot,Bagalakot,Maize,2635
2024-07-10,Karnataka,Bagalkot,Bagalakot,Maize,2551
2024-07-12,Karnataka,Bagalkot,Bagalakot,Maize,2629
2024-07-15,Karnataka,Bagalkot,Bagalakot,Maize,2540
2024-07-18,Karnataka,Bagalkot,Bagalakot,Maize,2376
2024-07-19,Karnataka,Bagalkot,Bagalakot,Maize,2621
2024-07-20,Karnataka,Bagalkot,Bagalakot,Maize,2463
2024-07-23,Karnataka,Bagalkot,Bagalakot,Maize,2539
2024-07-29,Karnataka,Bagalkot,Bagalakot,Maize,1632
2024-07-30,Karnataka,Bagalkot,Bagalakot,Maize,2510
2024-07-31,Karnataka,Bagalkot,Bagalakot,Maize,2613
2024-08-07,Karnataka,Bagalkot,Bagalakot,Maize,2125
2024-08-12,Karnataka,Bagalkot,Bagalakot,Maize,2013
2024-08-30,Karnataka,Bagalkot,Bagalakot,Maize,2436
2024-09-10,Karnataka,Bagalkot,Bagalakot,Maize,2600
2024-09-12,Karnataka,Bagalkot,Bagalakot,Maize,2501
2024-09-17,Karnataka,Bagalkot,Bagalakot,Maize,2701
2024-09-18,Karnataka,Bagalkot,Bagalakot,Maize,2500
2024-09-20,Karnataka,Bagalkot,Bagalakot,Maize,2701
2024-09-21,Karnataka,Bagalkot,Bagalakot,Maize,2508
2024-09-23,Karnataka,Bagalkot,Bagalakot,Maize,2432
2024-09-24,Karnataka,Bagalkot,Bagalakot,Maize,2431
2024-09-25,Karnataka,Bagalkot,Bagalakot,Maize,2394
2024-09-26,Karnataka,Bagalkot,Bagalakot,Maize,2388
2024-09-27,Karnataka,Bagalkot,Bagalakot,Maize,2403
2024-09-30,Karnataka,Bagalkot,Bagalakot,Maize,2409
2025-02-15,Karnataka,Bagalkot,Bagalakot,Maize,2202
2025-02-18,Karnataka,Bagalkot,Bagalakot,Maize,2364
2025-02-19,Karnataka,Bagalkot,Bagalakot,Maize,2050
2025-02-20,Karnataka,Bagalkot,Bagalakot,Maize,2332
2025-02-21,Karnataka,Bagalkot,Bagalakot,Maize,2335
2025-02-24,Karnataka,Bagalkot,Bagalakot,Maize,2283
2025-02-25,Karnataka,Bagalkot,Bagalakot,Maize,2281
2025-02-28,Karnataka,Bagalkot,Bagalakot,Maize,2233
2025-03-01,Karnataka,Bagalkot,Bagalakot,Maize,2119
2024-05-27,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2200
2024-05-30,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2265
2024-06-03,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2200
2024-06-19,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2450
2024-06-27,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2024-07-12,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2024-07-15,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2024-07-24,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2024-07-26,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2024-07-29,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2024-08-17,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2600
2024-08-19,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2600
2024-08-31,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2600
2024-09-09,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2600
2024-09-26,Karnataka,Bagalkot,Bagalkot(Bilagi),Maize,2400
2023-05-25,Karnataka,Belgaum,Bailahongal,Maize,1700
2023-05-29,Karnataka,Belgaum,Bailahongal,Maize,1850
2024-05-23,Karnataka,Belgaum,Bailahongal,Maize,2200
2024-05-27,Karnataka,Belgaum,Bailahongal,Maize,2280
2024-06-04,Karnataka,Belgaum,Bailahongal,Maize,2300
2024-06-18,Karnataka,Belgaum,Bailahongal,Maize,2330
2025-02-20,Karnataka,Belgaum,Bailahongal,Maize,2300
2025-02-26,Karnataka,Belgaum,Bailahongal,Maize,2300
2025-02-28,Karnataka,Belgaum,Bailahongal,Maize,2300
2025-09-16,Karnataka,Belgaum,Bailahongal,Maize,2370
2023-05-29,Karnataka,Bangalore,Bangalore,Maize,2600
2023-05-30,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-01,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-02,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-03,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-06,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-07,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-08,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-09,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-12,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-13,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-14,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-15,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-16,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-19,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-20,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-22,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-23,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-26,Karnataka,Bangalore,Bangalore,Maize,2600
2023-06-27,Karnataka,Bangalore,Bangalore,Maize,2400
2023-06-28,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-01,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-03,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-04,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-05,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-06,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-07,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-12,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-13,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-14,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-17,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-18,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-20,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-21,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-24,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-25,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-26,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-28,Karnataka,Bangalore,Bangalore,Maize,2400
2023-07-31,Karnataka,Bangalore,Bangalore,Maize,2400
2023-08-01,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-02,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-03,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-04,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-05,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-07,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-08,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-09,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-10,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-11,Karnataka,Bangalore,Bangalore,Maize,2350
2023-08-17,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-19,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-23,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-25,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-28,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-29,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-30,Karnataka,Bangalore,Bangalore,Maize,2500
2023-08-31,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-01,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-02,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-04,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-06,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-11,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-15,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-16,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-19,Karnataka,Bangalore,Bangalore,Maize,2500
2023-09-21,Karnataka,Bangalore,Bangalore,Maize,2500
2024-05-23,Karnataka,Bangalore,Bangalore,Maize,2550
2024-05-24,Karnataka,Bangalore,Bangalore,Maize,2550
2024-05-28,Karnataka,Bangalore,Bangalore,Maize,2550
2024-05-29,Karnataka,Bangalore,Bangalore,Maize,2550
2024-05-31,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-03,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-04,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-06,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-10,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-11,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-12,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-14,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-15,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-18,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-19,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-21,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-24,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-27,Karnataka,Bangalore,Bangalore,Maize,2550
2024-06-29,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-01,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-02,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-03,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-04,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-05,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-06,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-09,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-10,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-15,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-22,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-23,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-24,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-25,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-26,Karnataka,Bangalore,Bangalore,Maize,2550
2024-07-29,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-06,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-07,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-08,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-09,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-12,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-13,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-16,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-17,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-20,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-23,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-27,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-28,Karnataka,Bangalore,Bangalore,Maize,2550
2024-08-29,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-09,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-10,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-11,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-12,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-13,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-17,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-18,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-19,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-20,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-21,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-23,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-24,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-25,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-26,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-27,Karnataka,Bangalore,Bangalore,Maize,2550
2024-09-30,Karnataka,Bangalore,Bangalore,Maize,2550
2025-02-15,Karnataka,Bangalore,Bangalore,Maize,2550
2025-02-17,Karnataka,Bangalore,Bangalore,Maize,2550
2025-02-19,Karnataka,Bangalore,Bangalore,Maize,2550
2025-02-21,Karnataka,Bangalore,Bangalore,Maize,2550
2023-08-19,Karnataka,Kolar,Bangarpet,Maize,1700
2024-06-04,Karnataka,Kolar,Bangarpet,Maize,2300
2024-06-10,Karnataka,Kolar,Bangarpet,Maize,2300
2024-06-19,Karnataka,Kolar,Bangarpet,Maize,2400
2024-06-25,Karnataka,Kolar,Bangarpet,Maize,2500
2024-07-02,Karnataka,Kolar,Bangarpet,Maize,2600
2024-07-10,Karnataka,Kolar,Bangarpet,Maize,2700
2024-07-19,Karnataka,Kolar,Bangarpet,Maize,2800
2024-07-22,Karnataka,Kolar,Bangarpet,Maize,2700
2024-07-23,Karnataka,Kolar,Bangarpet,Maize,2800
2024-07-25,Karnataka,Kolar,Bangarpet,Maize,2800
2024-07-30,Karnataka,Kolar,Bangarpet,Maize,2800
2024-08-06,Karnataka,Kolar,Bangarpet,Maize,2700
2024-09-11,Karnataka,Kolar,Bangarpet,Maize,2900
2024-09-12,Karnataka,Kolar,Bangarpet,Maize,2900
2024-09-13,Karnataka,Kolar,Bangarpet,Maize,2900
2024-09-20,Karnataka,Kolar,Bangarpet,Maize,2700
2024-09-21,Karnataka,Kolar,Bangarpet,Maize,2600
2024-09-23,Karnataka,Kolar,Bangarpet,Maize,2800
2024-09-24,Karnataka,Kolar,Bangarpet,Maize,2900
2025-09-12,Karnataka,Kolar,Bangarpet,Maize,2500
2025-09-22,Karnataka,Kolar,Bangarpet,Maize,2300
2023-05-24,Karnataka,Bellary,Bellary,Maize,1828
2023-05-25,Karnataka,Bellary,Bellary,Maize,1836
2023-05-26,Karnataka,Bellary,Bellary,Maize,1859
2023-05-29,Karnataka,Bellary,Bellary,Maize,1845
2023-05-30,Karnataka,Bellary,Bellary,Maize,1814
2023-05-31,Karnataka,Bellary,Bellary,Maize,1859
2023-06-01,Karnataka,Bellary,Bellary,Maize,1821
2023-06-02,Karnataka,Bellary,Bellary,Maize,1894
2023-06-03,Karnataka,Bellary,Bellary,Maize,1832
2023-06-05,Karnataka,Bellary,Bellary,Maize,1861
2023-06-06,Karnataka,Bellary,Bellary,Maize,1885
2023-06-07,Karnataka,Bellary,Bellary,Maize,1896
2023-06-08,Karnataka,Bellary,Bellary,Maize,2128
2023-06-09,Karnataka,Bellary,Bellary,Maize,1884
2023-06-12,Karnataka,Bellary,Bellary,Maize,1901
2023-06-13,Karnataka,Bellary,Bellary,Maize,1838
2023-06-14,Karnataka,Bellary,Bellary,Maize,1900
2023-06-15,Karnataka,Bellary,Bellary,Maize,1891
2023-06-16,Karnataka,Bellary,Bellary,Maize,1912
2023-06-17,Karnataka,Bellary,Bellary,Maize,1828
2023-06-19,Karnataka,Bellary,Bellary,Maize,1970
2023-06-20,Karnataka,Bellary,Bellary,Maize,1934
2023-06-21,Karnataka,Bellary,Bellary,Maize,1956
2023-06-23,Karnataka,Bellary,Bellary,Maize,2014
2023-06-26,Karnataka,Bellary,Bellary,Maize,2078
2023-06-27,Karnataka,Bellary,Bellary,Maize,2282
2023-06-30,Karnataka,Bellary,Bellary,Maize,2155
2023-07-01,Karnataka,Bellary,Bellary,Maize,2175
2023-07-03,Karnataka,Bellary,Bellary,Maize,2208
2023-07-04,Karnataka,Bellary,Bellary,Maize,2207
2023-07-06,Karnataka,Bellary,Bellary,Maize,2162
2023-07-07,Karnataka,Bellary,Bellary,Maize,2129
2023-07-10,Karnataka,Bellary,Bellary,Maize,2182
2023-07-11,Karnataka,Bellary,Bellary,Maize,2217
2023-07-12,Karnataka,Bellary,Bellary,Maize,2088
2023-07-13,Karnataka,Bellary,Bellary,Maize,2110
2023-07-14,Karnataka,Bellary,Bellary,Maize,2243
2023-07-15,Karnataka,Bellary,Bellary,Maize,2090
2023-07-18,Karnataka,Bellary,Bellary,Maize,2100
2023-07-19,Karnataka,Bellary,Bellary,Maize,2209
2023-07-20,Karnataka,Bellary,Bellary,Maize,2187
2023-07-21,Karnataka,Bellary,Bellary,Maize,2298
2023-07-24,Karnataka,Bellary,Bellary,Maize,2298
2023-07-27,Karnataka,Bellary,Bellary,Maize,2022
2023-07-28,Karnataka,Bellary,Bellary,Maize,2180
2023-07-31,Karnataka,Bellary,Bellary,Maize,2312
2023-08-01,Karnataka,Bellary,Bellary,Maize,2386
2023-08-03,Karnataka,Bellary,Bellary,Maize,2327
2023-08-04,Karnataka,Bellary,Bellary,Maize,2240
2023-08-05,Karnataka,Bellary,Bellary,Maize,2200
2023-08-07,Karnataka,Bellary,Bellary,Maize,2264
2023-08-08,Karnataka,Bellary,Bellary,Maize,2310
2023-08-09,Karnataka,Bellary,Bellary,Maize,2296
2023-08-10,Karnataka,Bellary,Bellary,Maize,2202
2023-08-12,Karnataka,Bellary,Bellary,Maize,2193
2023-08-14,Karnataka,Bellary,Bellary,Maize,2317
2023-08-18,Karnataka,Bellary,Bellary,Maize,2112
2023-08-19,Karnataka,Bellary,Bellary,Maize,2316
2023-08-21,Karnataka,Bellary,Bellary,Maize,2171
2023-08-22,Karnataka,Bellary,Bellary,Maize,2240
2023-08-23,Karnataka,Bellary,Bellary,Maize,2126
2023-08-24,Karnataka,Bellary,Bellary,Maize,2144
2023-08-25,Karnataka,Bellary,Bellary,Maize,2237
2023-08-26,Karnataka,Bellary,Bellary,Maize,2186
2023-08-28,Karnataka,Bellary,Bellary,Maize,2209
2023-08-29,Karnataka,Bellary,Bellary,Maize,2301
2023-08-30,Karnataka,Bellary,Bellary,Maize,2306
2023-08-31,Karnataka,Bellary,Bellary,Maize,2145
2023-09-01,Karnataka,Bellary,Bellary,Maize,2242
2023-09-02,Karnataka,Bellary,Bellary,Maize,2230
2023-09-04,Karnataka,Bellary,Bellary,Maize,2142
2023-09-05,Karnataka,Bellary,Bellary,Maize,2182
2023-09-06,Karnataka,Bellary,Bellary,Maize,2191
2023-09-08,Karnataka,Bellary,Bellary,Maize,2271
2023-09-11,Karnataka,Bellary,Bellary,Maize,2195
2023-09-12,Karnataka,Bellary,Bellary,Maize,2202
2023-09-13,Karnataka,Bellary,Bellary,Maize,2274
2023-09-14,Karnataka,Bellary,Bellary,Maize,2224
2023-09-16,Karnataka,Bellary,Bellary,Maize,2154
2023-09-19,Karnataka,Bellary,Bellary,Maize,2180
2023-09-20,Karnataka,Bellary,Bellary,Maize,2220
2023-09-21,Karnataka,Bellary,Bellary,Maize,2260
2023-09-22,Karnataka,Bellary,Bellary,Maize,2189
